id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas sleek super angel chen core black (w),New,--,--,--,--,0,0,Core Black/Gold Metallic/Core Black,--,05/30/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas stycon laceless hard court grey two purple tint (w),New,--,--,¥31600,--,0,0,Grey Two/Cloud White/Purple Tint,140,01/08/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas continental 80 coral black signal coral (gs),New,--,--,--,--,0,0,Core Black/Signal Coral/Cloud White,65,03/26/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas carerra low pride 2020 (w),New,--,--,¥10539400,--,0,0,Footwear White/Footwear White/Bright Cyan,80,06/01/2020,--,--,--,--,--,--,--,--
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas futurecraft mfg made for germany,New,¥37500,10.5,¥37000,¥25000,+20100,115,--,250,10/06/2016,37500,12700,27800,47200,25.9,5,42.0,"23,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas 3d runner black,New,¥234200,7,¥494400,¥177400,+40400,21,--,333,12/15/2016,234200,193900,214100,254400,8.6,2,567.3,"214,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 4d cloud white,New,¥28900,9.5,¥15600,¥20300,+11300,64,Cloud White/Cloud White/Carbon,300,05/31/2019,47500,10600,25100,32800,13.2,557,-8.5,"19,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 4d white,New,¥27300,11,¥23200,¥19400,+2100,8,Footwear White/Grey 2/Core Black,300,03/30/2019,39000,15300,25000,29700,8.6,409,-13.7,"23,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 4d black,New,¥15900,11,¥14800,¥21300,+9500,150,Core Black/Core Black/Carbon,300,05/01/2019,35500,6400,10700,21000,32.8,478,-50.0,"20,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaboost triple white,New,¥12200,12,¥14500,¥10500,+3000,32,Cloud White/Silver Metallic/Cloud White,150,06/01/2019,22200,5300,8500,15900,30.8,440,-23.3,"10,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas futurecraft 4d daniel arsham,New,¥105300,8,¥126500,¥100600,+20900,25,Aero Green/Aero Green/Aero Green,450,10/12/2018,213500,67200,72400,138300,31.3,41,122.0,"129,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4ldn london,New,¥11400,9,¥7400,¥10500,+1900,20,--,225,10/19/2017,22200,6200,8500,14400,25.6,38,-52.0,"12,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas energy boost run thru time,New,¥15900,8.5,¥9000,¥10500,+1300,9,--,160,07/19/2017,21100,3700,11100,20600,29.9,13,-6.3,"10,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nite jogger white multi,New,¥14700,12,¥10000,¥7900,+6300,74,White/Multi-Metallic Silver,130,--,14700,5300,12100,17300,18.2,9,6.9,"8,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 2 4d white,New,¥61900,9,¥31500,¥30500,+26300,73,White/White/White,300,07/22/2019,61900,15900,51600,72200,16.6,113,95.7,"25,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 4d ash green,New,¥15500,8,¥16000,¥23700,+5000,47,Core Black/Grey Aero/Ash Green,300,02/17/2018,51800,10600,11400,19700,26.4,39,-51.0,"22,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 milan,New,¥15000,11,¥12700,¥6000,+7600,103,White/Black/Red,150,07/26/2019,22500,7400,10700,19300,28.6,9,-5.3,"13,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas seeulater alledo white mountaineering core black,New,¥10600,10.5,--,¥8400,-1000,-9,--,240,09/09/2017,11600,5300,7800,13300,25.9,8,-58.3,"8,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas adizero rc undefeated,New,¥8400,11,¥6200,¥3100,+2300,36,Black White/Light Grey Heather/Orange,100,05/11/2019,10500,5300,6400,10400,23.6,5,-21.0,"8,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ace tango 17.1 purecontrol turf trainer kith flamingos,New,¥6900,12,¥8000,¥8400,-1000,-13,--,165,06/02/2017,8000,6400,6300,7500,9.4,4,-60.6,"6,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphabounce ams core black,New,¥10600,11.5,¥13200,¥10500,+1600,18,--,110,02/16/2017,10600,6500,8900,12300,16.2,3,-9.1,"8,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaedge 4d parley white aero green,New,¥34300,9,¥24300,¥25800,+23800,225,Aero Green/Linen Green/Aero Green,300,06/08/2019,45500,10600,26100,42500,24.0,453,8.3,"21,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphaboost parley black,New,¥9400,10.5,¥7400,¥7300,+2100,27,Core Black/Linen Green/Cloud White,150,06/01/2019,13800,4300,8100,10800,14.5,75,-40.7,"7,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 game of thrones,New,¥6600,11.5,¥5300,¥5200,-500,-8,Core Black/Clear/Collegiate Navy,150,05/25/2019,13200,4800,4700,8500,28.6,61,-58.7,"7,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas futurecraft 4d onix aero green,New,¥55900,10,¥52700,¥63300,-17900,-24,Onix/Aero Green/Night Grey,450,11/21/2018,105300,42100,42500,69300,23.9,61,17.8,"69,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas alphabounce instinct cloud white grey two,New,¥8000,10,¥9500,¥6300,-2500,-24,Cloud White/Grey Two/Core Black,120,07/07/2018,14300,5300,6500,9400,19.2,62,-37.5,"8,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 thanos,New,¥7400,9,¥10400,¥13700,-2600,-26,Black/Black,150,04/26/2019,34300,5700,3500,11300,52.3,57,-53.3,"12,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 am4tky tokyo,New,¥11900,9,¥11000,¥10500,-11800,-50,White/Grey/Black,200,09/20/2018,29000,8500,8000,15800,32.9,52,-44.0,"15,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 am4cm captain marvel,New,¥12200,11,¥11600,¥21000,+2200,21,White/Gold Metallic/White,150,03/08/2019,40100,2800,8900,15400,27.1,44,-23.3,"15,800"
