id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx runner 4d aqua,New,¥27200,10,¥23200,¥37400,+500,2,Light Aqua/Yellow Tint/Purple,200,10/16/2020,52600,16500,26000,28500,4.7,47,29.0,"27,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 8000 atmos g-snk 3,New,¥13900,12,¥10600,¥13700,+4400,46,Green/Gold/Green,130,05/16/2020,43700,9400,12600,15100,9.1,811,0.8,"17,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas torsion artillery high wyld stallyns,New,¥27900,12,¥21000,¥19400,+7800,39,Crystal White/Scarlet/Off-White,--,10/09/2020,36500,19000,22900,32800,17.9,22,--,"25,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 8000 olympic (2020),New,¥15400,10,¥13500,¥14000,-600,-4,Cloud White/Hi-Res Red/Core Black,120,05/15/2020,30400,14300,13900,17100,10.4,120,22.0,"19,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 9000 concepts,New,¥14200,8.5,¥11200,¥14700,+5100,55,Silver Metallic/Chalk White/Collegiate Navy,140,09/06/2020,45900,9100,11300,17000,20.2,231,-4.6,"16,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue 2 glow mint,New,¥8500,11,¥8000,¥8900,-1300,-14,Glow Mint/Signal Green/Solar Red,--,07/04/2020,31700,6400,7000,10000,17.5,138,--,"11,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nite jogger beyonce ivy park,New,¥21100,8.5,¥14700,¥23100,+2200,11,Maroon/Maroon/Solar Orange,160,01/18/2020,48400,2700,12600,29700,40.3,1728,25.0,"21,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 6 pusha t i am my own fan,New,¥11000,10,¥9300,¥14300,+800,7,White/Blue/Orange,140,02/14/2020,26400,6700,8500,13500,23.0,778,-25.7,"13,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 8000 superstar,New,¥14700,10,¥9300,¥15400,+300,2,Footwear White/Core Black/Off White,140,07/17/2020,28700,8500,11100,18400,24.6,230,-0.5,"15,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas niteball off white cream white,New,¥11600,9,¥13800,¥10800,-8400,-42,Off White/Cream White/Pink Tint,120,07/01/2020,33400,4300,7500,15800,35.4,122,-8.3,"15,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 2k boost solar yellow hi res red,New,¥14300,10.5,¥14300,¥12600,0,0,Solar Yellow/Cloud White/Hi-Res Red,150,08/01/2020,36900,8600,11900,16700,16.8,87,-10.0,"18,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas x90004d core black signal pink,New,¥14300,9.5,¥14300,¥18900,-600,-4,Core Black/Core Black/Signal Pink,200,09/04/2020,22000,11100,12900,15600,9.8,83,-32.5,"15,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar mickey mouse,New,¥11400,8.5,¥6400,¥13800,+3200,38,Cloud White/Gold Metallic/Scarlet,120,02/20/2020,29600,4500,8700,14200,24.1,458,-10.0,"13,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar prada white black,New,¥63300,7,¥49400,¥59500,+8500,15,Cloud White/Core Black/Cloud White,525,09/08/2020,314800,36900,58800,67800,7.1,233,14.3,"62,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar human made white black,New,¥6300,8.5,¥5600,¥6800,-2000,-25,White/Black/Chalk White,--,04/10/2020,23200,4500,5500,7000,12.5,170,--,"9,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 2k 4d core black,New,¥11600,10,¥10600,¥10900,+1600,16,Core Black/Core Black/Core Black,250,06/19/2020,34600,4400,9300,14000,20.2,40,-56.0,"15,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas crazy byw 2.0 pharrell,New,¥10100,10.5,¥8400,¥10500,-1700,-15,Yellow Tint/Chalk Coral/Trace Purple,180,03/21/2020,26400,4800,8300,11900,18.1,333,-47.2,"11,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas 0 to 60 stmt pharrell multicolor,New,¥11400,9,¥9000,¥9500,+2500,27,Supplier Colour/Supplier Colour/Supplier Colour,225,03/15/2020,26400,6400,9100,13800,20.0,251,-52.0,"12,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 6 mcdonalds dame sauce,New,¥17900,12,¥9000,¥14200,-600,-3,Green/Yellow/Orange,110,07/03/2020,39500,5300,9900,25900,44.7,246,53.6,"14,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx 5000 a-zx joshua tree,New,¥9100,10,¥10100,¥15200,-4600,-34,Vapour Pink/Easy Orange/Tech Purple,130,08/21/2020,28700,8000,6300,12000,31.6,115,-33.8,"14,800"
