id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 5 core black shock pink,New,¥6400,10.5,¥6600,¥6300,+500,7,Core Black/Core Black/Shock Pink,115,07/01/2019,16300,4100,4700,8100,26.9,174,-47.8,"7,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas n3xt l3v3l cream white bahia light blue,New,¥10500,11.5,¥7800,¥11600,+400,3,Cream White/Footwear White/Bahia Light Blue,180,05/03/2019,26600,6700,8400,12600,19.9,172,-45.0,"11,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue #1 amazing spider man,New,¥11000,12.5,¥9300,¥10000,-200,-2,Scarlet/Cloud White/Collegiate Royal,100,07/01/2019,21100,5800,9100,12900,16.9,469,4.0,"11,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 5 marvel black panther,New,¥20600,11.5,¥10700,¥22700,+6900,50,Core Black/Active Purple/Silver Metallic,125,04/26/2019,36900,4900,14800,26400,28.4,135,56.0,"17,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden ls 2 buckle triple black,New,¥7800,10.5,¥4100,¥4800,+2200,37,Core Black/Solid Grey/Core Black,180,01/01/2018,10600,3400,6700,9000,14.5,126,-58.9,"6,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 legend purple core black,New,¥12700,10,¥7400,¥6800,+3200,33,Legend Purple/Core Black/Active Purple,140,01/01/2019,12700,3800,10600,14800,16.7,52,-14.3,"8,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas forum 84 sneaker politics,New,¥31700,12,¥29000,¥36800,-15800,-33,White/Royal,--,10/03/2020,52700,31700,25900,37500,18.2,8,--,"43,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas t-mac millennium houston rockets,New,¥6500,11.5,¥6900,¥5100,-2000,-24,Scarlet/Gold Metallic/Red,160,01/04/2019,14800,4300,4800,8100,26.1,40,-62.1,"7,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas marquee boost kristaps porzingis,New,¥3700,10.5,¥7400,¥3900,-200,-5,Core Royal/Core Black/True Orange,140,12/01/2018,8500,3700,2800,4700,26.7,26,-75.0,"5,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue #1 stealth spider man,New,¥12200,11,¥7000,¥12500,+2800,29,Core Black/Hi-Res Green/Hi-Res Yellow,100,08/01/2019,13200,3200,10400,14000,14.6,397,15.0,"7,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue #1 symbiote spider man,New,¥14800,7.5,¥12700,¥14900,-1000,-7,Core Black/Cloud White/Pink,100,07/18/2019,31100,5000,9300,20300,37.3,280,40.0,"14,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 core black scarlet,New,¥12400,13,¥6400,¥9100,+3000,32,Core Black/Grey/Scarlet,140,12/01/2018,17000,3600,10500,14400,15.8,225,-16.4,"7,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue #1 iron spider,New,¥4300,11,¥9000,¥8900,-7900,-65,Scarlet/Gold Metallic/Core Black,100,08/31/2019,16900,4300,1900,6600,55.6,221,-60.0,"8,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 imma star,New,¥12600,12,¥7400,¥7900,-400,-3,Gold Metallic/Footwear White/Core Black,140,04/06/2019,16900,3200,10600,14600,16.1,221,-15.0,"9,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 marvel iron man,New,¥19500,13,¥9000,¥13700,+9500,95,Scarlet/Collegiate Burgundy/Gold Metallic,150,04/26/2019,27300,5300,16300,22800,16.7,163,23.3,"14,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 blue night,New,¥12400,9.5,¥15800,¥11500,+300,2,Blue Night/Bright Cyan/Shock Red,140,03/31/2018,17100,4900,10300,14500,17.2,82,-16.4,"10,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 traffic jam,New,¥8600,9.5,¥16900,¥9500,-6200,-42,Black/Grey/Iron,140,03/01/2018,20000,5400,5600,11500,34.6,76,-42.1,"8,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 4 core black,New,¥6400,11,¥6900,¥5500,-2600,-29,Core Black/Cloud White/Core Black,130,--,12700,6400,4900,7800,22.7,52,-53.8,"9,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas streetball blink,New,¥18000,9.5,¥15200,¥16800,+5300,42,Black/Pink/Grey,110,--,42200,8100,9500,26400,47.2,47,54.5,"14,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 5 white multi,New,¥8400,12,¥6900,¥8500,+5700,216,White/Multi/White,115,02/01/2019,15900,2700,4800,12000,42.6,40,-31.3,"8,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 melon,New,¥9600,8,¥18500,¥15200,-4100,-30,Grey/Grey/Red,160,02/15/2018,23100,5800,6500,12800,33.3,33,-43.1,"12,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 different breed,New,¥17400,9,¥18000,¥18900,-3500,-17,Core Black/Cloud White/Shock Pink,150,--,52700,6500,14600,20300,16.1,30,10.0,"21,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 4 signal coral,New,¥10600,10,¥7600,¥5200,0,0,Signal Coral / Core Black / Signal Coral,130,--,12700,8000,9500,11600,9.7,26,-23.1,"9,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas crazy 8 nightmare before christmas,New,¥21100,9.5,¥36900,¥26300,0,0,Black 1/Collegiate Purple/Running White,125,12/20/2013,42200,11700,14700,27600,30.7,19,60.0,"25,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 1 imma be a star,New,¥27600,11,¥26400,¥17300,+3800,16,--,140,11/23/2016,38100,11700,21400,33700,22.1,19,86.4,"24,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas crazy explosive 2017 core black,New,¥13800,12.5,¥11600,¥13400,+300,2,Core Black/Silver Metallic Light Solid Grey,120,--,13800,4300,10200,17300,25.9,15,8.3,"9,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden ls sweet life,New,¥10600,10,¥23200,¥21600,-4200,-29,--,160,07/26/2017,30600,10600,4700,16500,56.3,11,-37.5,"19,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden ls collegiate burgundy,New,¥5300,8.5,¥12700,¥10500,-11500,-69,--,160,10/14/2017,16900,5300,1700,8900,67.0,6,-68.8,"10,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 white black,New,¥15200,10,¥13700,¥12100,-4700,-24,Cloud White/Cloud White/Core Black,140,02/01/2019,24600,3200,12400,18100,18.5,349,2.9,"11,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas marquee boost mid marvel thor,New,¥12700,9.5,¥6900,¥7900,0,0,Footwear White/Silver Metallic/Grey One,150,04/26/2019,32200,3200,8600,16800,32.7,59,-20.0,"8,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 concrete,New,¥16900,10.5,¥14400,¥13700,-14700,-47,Grey/Grey/Black,140,03/10/2018,31700,6400,10600,23200,37.5,44,14.3,"10,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 5 black red purple,New,¥10100,11,¥6900,¥4200,+2100,26,Core Black/Shock Red/Active Purple,115,01/01/2019,11400,3700,7800,12300,22.0,28,-17.4,"7,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,harden vol. 1 pioneer,New,¥6900,13.5,¥15800,¥13800,+700,10,--,140,12/03/2016,31700,6300,-1400,15200,121.0,25,-53.6,"15,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas crazy 8 adv sesame,New,¥9400,10.5,¥8500,¥9300,+800,8,--,140,11/23/2017,15900,4500,7000,12000,26.5,16,-36.3,"9,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d lillard 3 roots,New,¥5300,17,¥8600,¥8500,-3200,-38,--,115,12/14/2016,16800,5300,1700,8900,67.6,7,-56.5,"11,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas sm dame 4 nba onix,New,¥12700,14,¥12600,¥12600,+1100,9,Onix/ White,110,--,12700,11600,12200,13200,4.2,2,9.1,"12,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas d.o.n. issue #1 mailman karl malone,New,¥13800,10.5,¥13200,¥15200,0,0,Active Purple/Footwear White/Glow Blue,100,11/23/2019,23200,5800,10500,17000,24.1,466,30.0,"14,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 legend ink power red,New,¥15900,10.5,¥11600,¥12600,+2700,20,Legend Ink/Collegiate Navy/Power Red,140,03/28/2019,21000,4800,12000,19800,24.6,203,7.1,"10,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 3 black white,New,¥14800,12,¥14700,¥10000,+100,0,Core Black/Footwear White/Grey Six,--,10/15/2018,22700,5800,11900,17800,20.1,177,--,"10,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 4 a bathing ape camo,New,¥49100,9,¥25900,¥36800,+2700,6,Black/Green/Gum,150,02/16/2018,66900,18000,43300,54900,11.8,165,210.0,"36,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 maroon,New,¥3200,13,¥8500,¥12700,-10500,-77,Maroon/Black,160,02/15/2018,16900,3200,-800,7200,125.5,106,-81.3,"9,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 1 home,New,¥14800,13,¥12100,¥11100,-4800,-25,--,140,01/07/2017,20100,4500,11700,17900,21.1,98,--,"10,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas t-mac 1 black royal (2019),New,¥12200,9.5,¥12400,¥15400,-6500,-35,Core Black/Collegiate Royal/Core Black,160,03/01/2019,34700,10600,8600,15800,29.3,74,-28.1,"16,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas n3xt l3v3l marvel captain america,New,¥18000,12,¥17200,¥16800,+1100,6,Collegiate Navy/Footwear White/Scarlet,180,04/26/2019,22100,7400,14100,21900,21.9,71,-5.6,"14,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas n3xt l3v3l core black cloud white,New,¥14200,10.5,¥9300,¥12600,-500,-3,Core Black/Cloud White/Core Black,180,12/01/2018,26400,4700,10200,18200,28.5,68,-25.5,"13,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas harden vol. 2 ls buckle black white,New,¥5800,8.5,¥6200,¥19600,-300,-5,Core Black/Footwear White/Gold Metallic,160,06/14/2018,10300,4300,5400,6400,8.4,59,-65.5,"6,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas marquee boost white grey,New,¥6900,10,¥7400,¥6700,-2000,-23,White/Footwear White/Grey,140,12/01/2018,15600,4300,4200,9600,40.2,56,-53.6,"6,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas dame 5 collegiate purple,New,¥10100,8,¥5800,¥4200,+700,7,Collegiate Purple/Collegiate Royal/Footwear White,115,06/01/2019,12700,4600,8200,12000,18.8,46,-17.4,"6,900"
