id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 indiana,New,¥13800,9.5,¥12200,¥16500,-4400,-24,Oatmeal/Team Victory Red/Chalk White,180,09/04/2020,25900,10700,10000,17500,27.4,112,-27.8,"16,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 miami,New,¥19500,11,¥13200,¥21000,+6900,54,Team Orange/Cloud White/Team Solar Orange,180,09/04/2020,26800,7600,16900,22200,13.3,103,2.8,"18,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 3.0 black multi-color,New,¥13100,9.5,¥11400,¥15200,0,0,Core Black/Glow Green/Core Black,180,09/01/2019,25200,6400,10800,15400,17.5,2261,-31.1,"13,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 2019 core black grey five,New,¥12700,11.5,¥9500,¥10500,+6400,100,CORE BLACK/CORE BLACK/CLOUD WHITE,180,01/01/2019,15900,5800,10700,14700,15.9,1537,-33.3,"9,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 19 star wars millennium falcon,New,¥10600,9,¥10500,¥13100,-1800,-15,Grey Five/Grey Two/Bright Cyan,180,11/21/2019,52200,7700,8500,12700,20.0,1231,-44.4,"13,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 cloud white active red,New,¥12100,8.5,¥13300,¥14200,-5900,-33,Cloud White/Active Red/Chalk White,180,12/04/2018,23400,8000,10400,13800,13.8,810,-36.7,"14,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost s&l light granite,New,¥6900,8,¥8700,¥15800,-2100,-24,Grey Two/Light Granite/Grey Four,180,11/01/2019,22600,5300,4500,9300,36.0,424,-63.9,"9,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 19 black glow,New,¥8500,10.5,¥8000,¥8400,0,0,CORE BLACK/GLOW BLUE/CORE BLACK,180,--,15500,5300,7800,9100,7.9,253,-55.6,"10,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 2.0 gold medal (2016/2018),New,¥18400,9,¥15300,¥18900,-2500,-12,--,200,--,31700,2700,10000,26800,46.2,203,-13.0,"17,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 base green olive,New,¥25900,9.5,¥23200,¥20000,+6500,33,--,180,09/09/2015,63300,19400,23400,28400,9.7,46,36.3,"30,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost dna black gold,New,¥11600,8,¥11600,¥12800,+2300,24,Core Black/Gold Metallic/Core Black,180,01/02/2020,25200,7300,9900,13400,15.2,972,-38.9,"13,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 20 dash grey,New,¥10200,9,¥9500,¥9400,-1300,-12,Dash Grey/Grey Five/Solar Red,180,01/01/2020,16700,5000,8900,11400,12.2,753,-46.7,"11,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 white multi-color,New,¥15200,9.5,¥14700,¥21000,+1000,7,Cloud White/Cloud White/Collegiate Navy,180,09/01/2018,29600,5300,11900,18600,22.1,623,-20.0,"13,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost dna parley white (2020),New,¥14300,10.5,¥11400,¥16800,+6400,80,Cloud White/Cloud White/Blue Spirit,180,06/08/2020,33700,8000,12400,16200,13.2,365,-25.0,"17,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost all terrain off white grey six,New,¥15400,11.5,¥12100,¥13100,+2300,17,Off White/Grey Six/Shock Red,180,12/01/2019,26400,7400,14000,17000,9.8,233,-18.7,"13,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 core black (1.0),New,¥20200,8.5,¥18000,¥18900,+2900,16,--,180,05/19/2015,33900,12700,18100,22300,10.2,206,6.1,"20,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultraboost uncaged core black active red blue,New,¥14200,13,¥12700,¥10000,+1100,8,Core Black/Active Red/Blue,180,06/01/2019,18700,6400,11500,16800,18.8,192,-25.6,"11,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 20 silver metallic,New,¥12000,13,¥15500,¥11500,-6000,-34,Silver Metallic/Silver Metallic/Silver Metallic,180,06/09/2020,23200,10600,9400,14500,20.9,31,-37.2,"14,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 louisville,New,¥14100,10.5,¥12500,¥12600,-500,-4,Core Black/Scarlet/Grey Five,180,09/04/2020,47400,10900,10800,17300,23.3,66,-26.1,"15,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 kansas,New,¥12200,11,¥11400,¥13700,+1600,15,Royal Blue/Cloud White/Blue,180,09/04/2020,23200,9500,10600,13800,12.8,40,-36.1,"14,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 white multi-color 2,New,¥18000,9.5,¥15500,¥18400,+2400,15,White/Multi/White,180,01/01/2019,25000,8100,15300,20600,14.8,1834,-5.6,"14,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 undefeated stars and stripes,New,¥30000,11,¥12200,¥21000,+13200,79,White/Red/White,220,05/31/2019,32700,5300,25000,34900,16.5,1780,29.1,"16,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 2019 oreo,New,¥18000,6.5,¥12700,¥17900,+1600,10,Black/White/Black,180,02/01/2019,21200,6400,14800,21100,17.4,878,-5.6,"11,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 19 core black grey six shock cyan,New,¥10600,8,¥9000,¥12100,+2200,25,Core Black/Grey Six/Shock Cyan,180,04/19/2019,19000,4900,8400,12800,20.6,855,-44.4,"10,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 black white speckle,New,¥12600,9,¥12500,¥15400,+3100,32,Core Black/Core Black/Cloud White,180,01/01/2018,26400,7100,10100,15100,20.3,709,-33.9,"14,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 19 white scarlet,New,¥3200,11,¥9500,¥8400,-2000,-39,Cloud White/Scarlet Red,180,07/01/2019,16800,3200,200,6300,95.5,560,-83.3,"9,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 cream white,New,¥11500,7.5,¥24300,¥27400,-10900,-49,Cream/Cream,200,10/03/2018,41700,11500,5800,17200,49.3,548,-45.5,"25,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 solar orange (2019),New,¥11600,11.5,¥10400,¥21000,+600,5,Solar Orange/Solar Orange,180,10/10/2019,31700,8000,9900,13400,15.8,497,-38.9,"13,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 multi-color toe white,New,¥18600,10,¥11600,¥16900,+6000,47,White/Multicolor,200,10/03/2018,42200,8500,13100,24100,29.5,376,-12.0,"15,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 20 chinese new year black gold (2020),New,¥11100,9,¥8700,¥15800,+600,5,Core Black/Core Black/Gold Metallic,160,12/15/2019,31100,7400,9600,12700,14.1,371,-34.1,"13,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 19 neighborhood,New,¥11200,9.5,¥11200,¥10500,-5900,-35,Core Black/Core Black/Core Black,200,11/29/2019,29000,5400,7800,14600,30.0,351,-47.0,"12,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 miami hurricanes,New,¥8000,7.5,¥7400,¥15800,+1400,21,Dark Green/Cloud White/Collegiate Orange,180,12/02/2018,23100,4300,4900,11000,38.1,343,-58.3,"10,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost s&l white grey scarlet,New,¥10600,9.5,¥9000,¥9400,+600,5,Cloud White/Grey Two/Scarlet,180,06/23/2019,20300,2700,8100,13100,23.5,294,-44.4,"10,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 20 triple grey,New,¥8000,11,¥11100,¥13100,-6900,-47,Grey/Cloud White/Grey Three,180,01/01/2020,24500,6300,4800,11100,40.1,253,-58.3,"14,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 2 foot locker asterisk collective,New,¥11500,11.5,¥9500,¥10600,-2200,-16,Collegiate Royal/Cloud White/Solar Red,180,05/18/2019,20000,6000,9500,13500,17.6,236,-39.4,"11,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost undefeated performance running black,New,¥11300,9.5,¥9300,¥12000,-600,-5,Shift Grey/Cinder/Utility Black,220,11/09/2018,22100,7400,9400,13200,16.9,226,-51.4,"11,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost dna chinese new year black (2020),New,¥12600,13,¥9600,¥18900,+3000,31,Core Black/Core Black/Gold Metallic,150,01/23/2019,29600,6500,9000,16200,28.9,227,-20.7,"13,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost s&l raw khaki,New,¥24600,10.5,¥8500,¥10500,+9900,67,Raw Khaki/Trace Cargo/Solar Red,180,11/01/2019,24600,6500,20300,28900,17.4,223,29.5,"10,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 cloud white maroon,New,¥11500,8.5,¥11500,¥17000,-600,-5,Cloud White/Maroon/Maroon,180,12/02/2018,27300,7400,8100,15000,30.3,202,-39.4,"15,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 20 core black gold metallic,New,¥10000,10,¥10600,¥13100,+1000,11,Core Black/Core Black/Gold Metallic,180,03/12/2020,34700,8500,8500,11400,14.5,161,-47.8,"13,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost real blue shock pink,New,¥11500,13,¥7400,¥6800,+2100,21,Real Blue/Crystal White/Shock Pink,180,08/20/2019,15900,6400,10600,12500,8.6,154,-39.4,"10,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 1.0 engineered garments,New,¥10100,7,¥10000,¥16800,-2100,-17,Bold Blue/Red/Glow,250,10/20/2018,26400,7400,5500,14600,45.7,133,-62.0,"13,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 mickey mouse,New,¥16900,11,¥14900,¥13100,+4400,34,Core Black/Footwear White/Bright Yellow,180,--,24300,10600,13800,20100,18.8,122,-11.1,"16,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost s&l flash orange,New,¥7700,11,¥12100,¥12600,-5000,-40,Core Black/Flash Orange/Solar Orange,180,--,42200,7700,-400,15900,106.0,71,-59.4,"15,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost manchester united,New,¥23800,11,¥13700,¥19400,+7100,42,Core Black/Core Black/Real Red,250,07/24/2019,32300,8500,19100,28400,19.4,1210,-10.0,"16,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 2019 clear brown chalk white,New,¥9500,10,¥9500,¥10500,0,0,Clear Brown/Chalk White/Footwear White,180,02/20/2019,21000,5300,8400,10700,12.0,960,-50.0,"9,300"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 bape camo black,New,¥28400,6,¥18100,¥37800,-1600,-6,BLACK/CLOUD WHITE/CORE BLACK,250,02/02/2019,55200,6400,17500,39300,38.4,926,7.6,"28,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra boost 4.0 bape camo,New,¥21600,8.5,¥28000,¥45800,-8200,-28,Black/Green/Yellow,250,02/02/2019,61200,12700,14300,28800,34.0,894,-18.4,"33,100"
