id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas spezial indoor kreft chalk white,New,¥13000,9,¥13300,¥16800,+1900,17,Chalk White/Bright Blue/Running White,100,03/09/2018,13000,10500,12100,14000,7.7,5,23.0,"11,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx500 rm sneakersnstuff,New,¥11600,10,¥15800,¥10500,-1300,-11,Blue Night/Grey Two/Grey Four,140,11/15/2018,13000,8900,10200,13100,13.0,5,-21.4,"11,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas tubular invader strap sesame,New,¥16200,10,¥16200,¥7900,+8300,106,--,110,07/15/2016,16200,7600,12400,20000,23.7,5,39.1,"11,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas tubular doom chinese new year,New,¥12100,11.5,¥9400,¥7900,+9400,347,--,180,01/23/2016,15900,2800,7100,17000,41.5,5,-36.7,"8,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas forum hi fish scalin,New,¥15900,10.5,--,¥39500,+2700,20,--,180,09/03/2016,15900,8000,12600,19100,20.5,5,-16.7,"12,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar adicolor sun glow,New,¥10600,8,--,¥10500,-500,-5,Sun Glow/Sun Glow/Sun Glow,90,04/11/2016,14300,8900,8600,12600,18.5,5,11.1,"10,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas y-3 byw harden black white,New,¥32700,9.5,¥37900,¥15800,-13500,-29,Black/Black/White,450,02/16/2018,46300,18600,22300,43200,32.1,5,-31.1,"28,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas busenitz undefeated,New,¥18100,10,¥10600,¥5200,+1000,5,--,120,09/09/2016,18100,9500,14400,21800,20.3,5,42.5,"13,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas campus 80s high snobiety,New,¥8100,9,¥12700,¥4700,+1800,29,--,120,04/09/2016,12500,6300,5600,10500,30.6,4,-36.6,"9,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas 3mc vulc collegiate navy,New,¥4300,9,¥4800,--,+1600,60,Collegiate Navy/Collegiate Navy/Cloud White,65,07/05/2018,4300,2700,3500,5100,18.8,4,-38.5,"3,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas elastic slip on pharrell core black,New,¥8000,11,¥8000,¥2600,-1000,-12,--,75,05/12/2016,13300,8000,5700,10200,28.1,4,--,"9,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas pod-s3.1 clear orange,New,¥5300,13,¥6900,¥2600,+600,11,Clear Orange/Clear Orange/Core Black,120,08/16/2018,9500,4500,3300,7300,38.8,4,-58.3,"6,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas samba livestock rhythm,New,¥10600,12,¥23800,¥21000,-3200,-23,--,110,08/27/2016,42200,10600,-1700,22900,117.1,4,-9.1,"21,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas pod-s3.1 legend ink,New,¥5300,11,¥9000,¥4700,0,0,Legend Ink/Legend Ink/Core Black,120,08/23/2018,8500,4800,3800,6800,27.7,4,-58.3,"6,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas jeremy scott wings 3.0 dark knight,New,¥105400,10.5,¥42200,¥42100,+79100,300,--,250,10/31/2014,105400,26400,76100,134700,27.8,4,300.0,"57,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas superstar vulc krooked mark gonzales,New,¥8000,10.5,--,¥5200,-2600,-25,White/Blue/White,85,04/21/2018,10600,7400,6700,9200,15.9,4,-11.8,"8,900"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ultra tech core black crystal white,New,¥6800,12,¥15900,¥6700,+300,4,Core Black/Crystal White/Core Black,120,09/01/2018,10600,5800,5000,8700,27.2,4,-46.5,"7,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas samba recon lt black gum,New,¥8500,12,¥18000,¥7300,-4700,-36,Core Black/Cloud White/Gum,170,06/25/2018,13200,8500,6500,10500,24.4,4,-52.9,"9,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas tubular nova slam jam,New,¥8000,10.5,¥10600,¥8900,+600,7,--,140,07/02/2016,8000,4800,6700,9200,15.8,4,-46.4,"6,900"
