id,brand,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas temper run pride (2019),New,¥6400,12,¥4700,¥3600,+1800,37,Off White/Blue Tint/Ice Yellow,140,06/01/2019,79700,3400,5600,7100,11.6,24,-57.0,"13,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ozweego orange (youth),New,¥9000,7,¥13700,¥11200,-3700,-30,Hi-Res Coral/Semi Coral/Solar Orange,90,08/28/2019,16900,6400,6200,11900,31.7,27,-5.6,"12,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas zx530 spzl grey four,New,¥6200,8,¥7300,¥6200,-700,-11,Grey Four/Supplier Colour/Supplier Colour,--,03/08/2019,10100,5200,4800,7500,21.7,23,--,"7,100"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas speedfactory am4 star wars the force,New,¥9500,11.5,¥8000,¥10500,-1000,-10,Black/Red/White,150,12/20/2019,25800,4800,8100,11000,15.4,23,-40.0,"12,000"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas adilette alexander wang black,New,¥12700,11,¥18500,¥6800,+200,1,Core Black/Core Black/Core White,90,05/25/2019,21000,4800,9900,15500,22.6,22,33.3,"10,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas stan smith silver metallic (2019),New,¥5600,9,¥4500,¥4200,+2000,52,Silver Metallic/Silver Metallic/Crystal White,80,12/01/2019,14800,3200,4500,6900,21.8,21,-33.6,"6,600"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas americana low consortium donald glover off white,New,¥15300,10,¥11600,¥10500,+600,4,Off-White/Noble Indigo,--,01/21/2019,24300,14800,11600,19000,23.8,23,--,"19,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas crazy byw low a ma maniere,New,¥7300,10,¥7400,¥4500,0,0,Ash Pea/Deep Purple/Night Red,220,04/20/2019,16700,5400,6600,8100,10.1,21,-68.6,"7,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas country kamanda micropacer,New,¥9500,13,¥8000,¥5300,+2000,25,Silver Metallic/Powder Blue/Shock Red,130,02/23/2019,10700,4300,7700,11300,19.3,20,-30.8,"8,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yung-1 purple plaid,New,¥12500,10.5,¥7400,--,+6200,98,Core Black/Collegiate Purple/Core Black,120,01/25/2019,12500,4800,10100,14900,19.1,19,-1.7,"6,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas gazelle solid grey,New,¥8000,9.5,¥8000,¥3600,-1500,-17,Solid Grey/White/Gold Metallic,80,01/01/2019,11900,5300,6200,9700,22.2,19,-6.3,"8,200"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas yung-96 collegiate royal collegiate navy,New,¥3200,11,¥3700,¥3100,-500,-14,Collegiate Royal/Cloud White/Collegiate Navy,100,04/11/2019,159500,2700,1800,4600,43.4,18,-70.0,"14,400"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas lxcon black green,New,¥7300,10.5,¥7300,¥7200,+1300,21,Core Black/Core Black/Core Black,120,03/23/2019,10500,4800,5800,8800,20.3,16,-42.5,"6,800"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas ozweego glow green (youth),New,¥8000,4,¥8500,¥6800,+1600,25,Glow Green/Core Black/Solar Yellow,90,08/14/2019,43300,5300,-7100,23000,190.3,17,-16.7,"26,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas aloha super wallenberg,New,¥12700,9.5,¥21000,¥9500,+2700,26,White/Black,90,11/02/2019,19000,9500,10500,14900,17.9,17,33.3,"12,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas lxcon black red gradient,New,¥6700,9,¥5200,¥2600,+900,15,Black/White/Scarlet,120,05/01/2019,239300,2700,-62900,76300,1046.8,15,-47.5,"28,500"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas nite jogger ash silver,New,¥7400,11,--,¥3100,-2100,-22,Ash Silver/Ash Silver/Core Black,130,09/01/2019,13800,5800,5800,9000,21.7,16,-46.2,"8,700"
adidas-yeezy-boost-350-v2-multi-color-f-f,adidas,adidas tresc run core black shock red easy orange,New,¥4100,13,¥3400,¥4200,+800,23,Core Black/Shock Red/Easy Orange,130,02/15/2019,27000,3300,3400,4700,16.2,15,-70.8,"6,100"
