Product ID,Model Type,Size Type,Image URL,Product URL
adidas-don-issue-1-symbiote-spider-man,Basketball,Men,"https://stockx.imgix.net/adidas-DON-Issue-1-Symbiote-Spider-Man-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1565620674",https://stockx.com/adidas-don-issue-1-symbiote-spider-man
adidas-harden-vol-3-core-black-scarlet,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Core-Black-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1583533502",https://stockx.com/adidas-harden-vol-3-core-black-scarlet
adidas-don-issue-1-iron-spider,Basketball,Men,"https://stockx.imgix.net/adidas-DON-Issue-1-Iron-Spider-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1573502731",https://stockx.com/adidas-don-issue-1-iron-spider
adidas-harden-vol-3-imma-star,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Imma-Star-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1562948358",https://stockx.com/adidas-harden-vol-3-imma-star
adidas-harden-vol-3-marvel-iron-man,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Marvel-Iron-Man-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1557950243",https://stockx.com/adidas-harden-vol-3-marvel-iron-man
adidas-harden-vol-2-blue-night,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Blue-Night-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1573502731",https://stockx.com/adidas-harden-vol-2-blue-night
adidas-harden-vol-2-traffic-jam,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Traffic-Jam-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1552670217",https://stockx.com/adidas-harden-vol-2-traffic-jam
adidas-harden-vol-4-core-black,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-4-Core-Black.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1581707125",https://stockx.com/adidas-harden-vol-4-core-black
adidas-streetball-blink,Basketball,Men,"https://stockx.imgix.net/adidas-Streetball-Blink.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1568691769",https://stockx.com/adidas-streetball-blink
adidas-dame-5-white-multi,Basketball,Men,"https://stockx.imgix.net/adidas-Dame-5-White-Multi-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598649249",https://stockx.com/adidas-dame-5-white-multi
adidas-harden-vol-2-melon,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Melon-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1553972383",https://stockx.com/adidas-harden-vol-2-melon
adidas-harden-volpt-3-different-breed,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Volpt-3-Different-Breed-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1577992775",https://stockx.com/adidas-harden-volpt-3-different-breed
adidas-harden-vol-4-signal-coral,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-4-Signal-Coral.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1584639631",https://stockx.com/adidas-harden-vol-4-signal-coral
adidas-crazy-8-nightmare-before-christmas,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-8-Nightmare-Before-Christmas.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-crazy-8-nightmare-before-christmas
adidas-harden-volume-1-imma-be-a-star,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Imma-Be-A-Star-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598377218",https://stockx.com/adidas-harden-volume-1-imma-be-a-star
adidas-crazy-explosive-2017-core-black,Basketball,Men,"https://stockx.imgix.net/adidas-Crazy-Explosive-2017-Core-Black-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1583533502",https://stockx.com/adidas-crazy-explosive-2017-core-black
adidas-harden-ls-sweet-life,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-LS-Sweet-Life.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-ls-sweet-life
adidas-harden-ls-collegiate-burgundy,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-LS-Collegiate-Burgundy-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1573502731",https://stockx.com/adidas-harden-ls-collegiate-burgundy
adidas-harden-vol-3-white-black,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-White-Black.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549075252",https://stockx.com/adidas-harden-vol-3-white-black
