id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-nemeziz-tango-17pt1-ultra-boost-white-black,adidas,nemeziz,adidas nemeziz tango 17+ ultra boost agility trainer white black,New,21000.0,9.5,13200.0,7300.0,7300.0,53.0,,20940.0,2017-06-07,25300.0,7400.0,16100.0,26000.0,23.9,18.0,-0.5,13600.0,1229.0
adidas-gazelle-solid-grey,adidas,gazelle,adidas gazelle solid grey,New,8000.0,9.5,8000.0,3600.0,-1500.0,-17.0,Solid Grey/White/Gold Metallic,8376.0,2019-01-01,11900.0,5300.0,6200.0,9700.0,22.2,19.0,-6.3,8200.0,656.0
adidas-stan-smith-metal-gold-metallic,adidas,stan,adidas stan smith metal gold metallic,New,10700.0,9.5,7500.0,2000.0,-2000.0,-16.0,Gold Metallic/Gold Metallic/Crystal White,12564.0,2019-11-09,12700.0,10700.0,9600.0,11600.0,9.7,2.0,-16.2,11600.0,344.0
adidas-aw-turnout-trainer-alexander-wang-core-black,adidas,aw,adidas aw turnout trainer alexander wang core black,New,12700.0,9,13600.0,13700.0,-6100.0,-33.0,Core Black/Yellow/Light Brown,20940.0,2019-12-06,27300.0,8400.0,8100.0,17300.0,36.5,148.0,-40.0,13600.0,317.0
adidas-predator-19-firm-ground-cleat-silver-black-red,adidas,predator,adidas predator 19+ firm ground cleat silver black red,New,21800.0,8,21800.0,6300.0,6000.0,37.0,Silver Metallic/Core Black/Hi-Res Red,28792.5,2019-06-01,26400.0,10600.0,16700.0,26800.0,23.3,9.0,-25.1,19700.0,505.0
adidas-new-york-hanon-dark-storm,adidas,new,adidas new york hanon dark storm,New,10400.0,11.5,8500.0,9900.0,-400.0,-4.0,,15705.0,2017-12-02,13600.0,3700.0,8600.0,12200.0,17.4,61.0,-34.5,8500.0,1051.0
adidas-don-issue-1-symbiote-spider-man,adidas,d.o.n.,adidas d.o.n. issue #1 symbiote spider man,New,14800.0,7.5,12700.0,14900.0,-1000.0,-7.0,Core Black/Cloud White/Pink,10470.0,2019-07-18,31100.0,5000.0,9300.0,20300.0,37.3,280.0,40.0,14900.0,458.0
adidas-nmd-city-sock-white-mountaineering,adidas,nmd,adidas nmd city sock white mountaineering,New,29700.0,11,17200.0,12500.0,15900.0,116.0,,20940.0,2016-10-27,30500.0,12500.0,23700.0,35600.0,20.1,15.0,40.4,18800.0,1452.0
adidas-ozweego-cloud-white-gs,adidas,ozweego,adidas ozweego cloud white (youth),New,8700.0,5.5,8800.0,7900.0,-800.0,-9.0,Cloud White/Cloud White/Core Black,9423.0,2019-08-28,15800.0,6400.0,8000.0,9400.0,8.7,40.0,-8.9,10900.0,417.0
adidas-zx-8000-hanami-grey,adidas,zx,adidas zx 8000 hanami grey,New,10600.0,6.5,15900.0,12300.0,-7900.0,-43.0,Grey One/Vapour Pink/Grey Two,10470.0,2020-07-01,25100.0,10600.0,7100.0,14000.0,33.0,40.0,-0.5,16800.0,109.0
